timestamp,latitude,longitude,NO2 (ppb),VOC (ppb),PM10 (ug/m3),PM25 (ug/m3)
1650797301,45.036999,7.713505,0.000000,67.000000,5.066902,1.000000
1650797361,45.036663,7.713167,0.000000,67.000000,5.066902,1.000000
1650797361,45.036663,7.713167,0.000000,56.000000,2.000000,1.000000
1650797420,45.039734,7.713394,0.000000,56.000000,2.000000,1.000000
1650797420,45.039734,7.713394,0.000000,57.000000,2.000000,1.000000
1650797424,45.035637,7.713035,0.000000,57.000000,2.000000,1.000000
1650797464,45.035271,7.713971,0.000000,57.000000,2.000000,1.000000
1650797515,45.034847,7.714353,0.000000,57.000000,2.000000,1.000000
1650797515,45.034847,7.714353,0.000000,53.000000,2.000000,1.000000
1650797553,45.034302,7.714540,0.000000,53.000000,2.000000,1.000000
1650797553,45.034302,7.714540,0.000000,50.000000,2.000000,1.000000
1650797590,45.033306,7.714478,0.000000,50.000000,2.000000,1.000000
1650797635,45.032597,7.712974,0.000000,50.000000,2.000000,1.000000
1650797635,45.032597,7.712974,0.000000,52.000000,2.000000,1.000000
1650797678,45.032276,7.712486,0.000000,52.000000,2.000000,1.000000
1650797678,45.032276,7.712486,0.000000,51.000000,2.000000,1.000000
1650797714,45.031937,7.712430,0.000000,51.000000,2.000000,1.000000
1650797736,45.031372,7.712317,0.000000,51.000000,2.000000,1.000000
1650797736,45.031372,7.712317,0.000000,50.000000,2.000000,1.000000
1650797770,45.032135,7.713650,0.000000,50.000000,2.000000,1.000000
1650797838,45.032391,7.713073,0.000000,52.000000,2.000000,1.000000
1650797838,45.032391,7.713073,0.000000,50.000000,2.000000,1.000000
1650797882,45.032181,7.715261,0.000000,50.000000,2.000000,1.000000
1650797965,45.031200,7.715133,0.000000,45.000000,2.000000,1.000000
1650797965,45.031200,7.715133,0.000000,47.000000,2.000000,1.000000
1650797990,45.030922,7.715114,0.000000,47.000000,2.000000,1.000000
1650798005,45.030491,7.714150,0.000000,47.000000,2.000000,1.000000
1650798059,45.029957,7.712976,0.000000,47.000000,2.000000,1.000000
1650798059,45.029957,7.712976,0.000000,0.000000,2.000000,1.000000
1650798097,45.029381,7.713430,0.000000,0.000000,2.000000,1.000000
