timestamp,latitudine,longitudine,NO2 (ppb),VOC (ppb),PM10 (ug/m3),PM25 (ug/m3)
1647419262,1222.24.00,11552.51.00,8.00,85.00.00,4052.23.00,6690.03.00
1647419536,1221.50.00,11553.30.00,9.00,87.00.00,1353.20.00,9453.41.00
1647419536,1221.50.00,11553.30.00,9.00,88.00.00,9454.41.00,9456.33.00
1647419823,1222.21.00,11553.08.00,9.00,90.00.00,4828.35.00,8070.13.00
1647419823,1222.21.00,11553.08.00,9.00,88.00.00,4493.29.00,2210.11.00
1647420101,1221.58.00,11551.54.00,10.00,83.00.00,11044.11.00,5274.40.00
1647420101,1221.58.00,11551.54.00,10.00,85.00.00,6317.59.00,12325.06.00
1647420375,1222.13.00,11553.17.00,11.00,82.00.00,2980.06.00,16003.29.00
1647420646,1222.13.00,11553.30.00,11.00,81.00.00,13617.07.00,5320.50.00
1647420646,1222.13.00,11553.30.00,11.00,84.00.00,2451.02.00,7956.08.00
1647420929,1224.19.00,11553.35.00,11.00,79.00.00,16252.26.00,5390.19.00
1647420929,1224.19.00,11553.35.00,11.00,79.00.00,13677.47.00,670.23.00
1647421199,1223.37.00,11553.27.00,12.00,78.00.00,3462.21.00,2930.47.00
1647421199,1223.37.00,11553.27.00,12.00,76.00.00,3199.26.00,2741.52.00
1647421446,1219.17.00,11547.09.00,12.00,52.00.00,9002.13.00,4752.43.00
1647421446,1219.17.00,11547.09.00,13.00,58.00.00,5755.47.00,1706.19.00
1647421483,1216.26.00,11542.15.00,13.00,58.00.00,5755.47.00,1706.19.00
1647421483,1216.26.00,11542.15.00,13.00,60.00.00,10653.37.00,12557.03.00
1647421558,1221.23.00,11542.20.00,13.00,60.00.00,10653.37.00,12557.03.00
1647421558,1221.23.00,11542.20.00,14.00,62.00.00,9850.39.00,1616.57.00
1647425541,1222.09.00,11543.41.00,8.00,38.00.00,15023.39.00,5246.14.00
1647425541,1222.09.00,11543.41.00,8.00,38.00.00,5815.43.00,12170.55.00
1647425840,1222.05.00,11543.38.00,8.00,38.00.00,16539.43.00,681.27.00
1647425840,1222.05.00,11543.38.00,8.00,39.00.00,8056.28.00,1102.51.00
1647426111,1222.05.00,11543.40.00,9.00,39.00.00,2359.33.00,15747.24.00
1647426111,1222.05.00,11543.40.00,8.00,38.00.00,6423.37.00,415.18.00
1647427828,1217.50.00,11540.33.00,19.00,45.00.00,4373.18.00,6540.21.00
1647427828,1217.50.00,11540.33.00,18.00,38.00.00,4052.33.00,15532.51.00
1647427859,1226.44.00,11544.05.00,18.00,38.00.00,4052.33.00,15532.51.00
1647427873,1220.57.00,11545.44.00,18.00,38.00.00,4052.33.00,15532.51.00
1647427913,1219.44.00,11538.24.00,18.00,38.00.00,4052.33.00,15532.51.00
1647427913,1219.44.00,11538.24.00,18.00,34.00.00,2089.35.00,1425.33.00
1647427928,1220.26.00,11545.56.00,18.00,34.00.00,2089.35.00,1425.33.00
1647427997,1216.37.00,11541.26.00,18.00,29.00.00,9035.42.00,5821.11.00
1647427997,1216.37.00,11541.26.00,18.00,27.00.00,5873.55.00,2866.19.00
1647428028,1219.48.00,11547.08.00,18.00,27.00.00,5873.55.00,2866.19.00
1647428059,1227.37.00,11555.38.00,18.00,27.00.00,5873.55.00,2866.19.00
1647428059,1227.37.00,11555.38.00,18.00,31.00.00,10004.35.00,5349.02.00
1647428088,1232.31.00,11551.29.00,18.00,31.00.00,10004.35.00,5349.02.00
1647428119,1232.00.00,11546.39.00,18.00,31.00.00,10004.35.00,5349.02.00
1647428119,1232.00.00,11546.39.00,18.00,34.00.00,348.51.00,3676.18.00
1647428148,1227.07.00,11541.32.00,18.00,34.00.00,348.51.00,3676.18.00
1647428189,1226.17.00,11548.16.00,18.00,34.00.00,348.51.00,3676.18.00
