timestamp,latitude,longitude,NO2 (ppb),superato limite,percentuale sup
1645618982,45.066280,7.693867,2.000000,NO, 10
1645618982,45.066280,7.693867,2.000000,NO, 10
1645619004,45.066006,7.694054,2.000000,NO, 10
1645619036,45.067150,7.693461,2.000000,NO, 10
1645619036,45.067150,7.693461,2.000000,NO, 10
1645619066,45.065918,7.694232,2.000000,NO, 10
1645619099,45.067162,7.693463,2.000000,NO, 10
1645619099,45.067162,7.693463,2.000000,NO, 10
1645619145,45.066483,7.693388,2.000000,NO, 10
1645619160,45.067108,7.693453,2.000000,NO, 10
1645619160,45.067108,7.693453,0.000000,NO, 10
1645619227,45.066654,7.693649,0.000000,NO, 10
1645619227,45.066654,7.693649,0.000000,NO, 10
1645619253,45.067154,7.693466,0.000000,NO, 10
1645619267,45.066822,7.693253,0.000000,NO, 10
1645619285,45.067154,7.693458,0.000000,NO, 10
1645619285,45.067154,7.693458,0.000000,NO, 10
1645619471,45.066975,7.691257,0.000000,NO, 10
1645619471,45.066975,7.691257,0.000000,NO, 10
1645619514,45.067150,7.693457,0.000000,NO, 10
1645619530,45.067127,7.693062,0.000000,NO, 10
1645619530,45.067127,7.693062,0.000000,NO, 10
1645619545,45.067150,7.693450,0.000000,NO, 10
1645620390,45.067337,7.693802,4.000000,NO, 10
1645620390,45.067337,7.693802,5.000000,NO, 10
1645620414,45.067150,7.693484,5.000000,NO, 10
1645620506,45.067524,7.693469,5.000000,NO, 10
1645620506,45.067524,7.693469,7.000000,NO, 10
1645620571,45.067944,7.693622,7.000000,NO, 10
1645620571,45.067944,7.693622,6.000000,NO, 10
1645620602,45.068123,7.693203,6.000000,NO, 10
1645620602,45.068123,7.693203,5.000000,NO, 10
1645620633,45.068314,7.692708,5.000000,NO, 10
1645620666,45.067719,7.693365,5.000000,NO, 10
1645620666,45.067719,7.693365,6.000000,NO, 10
1645620669,45.068462,7.692762,6.000000,NO, 10
1645620697,45.067749,7.693292,6.000000,NO, 10
1645620702,45.068733,7.692911,6.000000,NO, 10
1645620728,45.068077,7.693277,6.000000,NO, 10
1645620728,45.068077,7.693277,5.000000,NO, 10
1645620737,45.068989,7.693231,5.000000,NO, 10
1645620759,45.068371,7.693415,5.000000,NO, 10
1645620796,45.069977,7.693620,5.000000,NO, 10
1645620796,45.069977,7.693620,6.000000,NO, 10
1645620820,45.068523,7.693362,6.000000,NO, 10
1645620849,45.070671,7.693534,6.000000,NO, 10
1645620849,45.070671,7.693534,4.000000,NO, 10
1645620890,45.071087,7.693097,4.000000,NO, 10
1645620921,45.070976,7.692664,4.000000,NO, 10
1645620921,45.070976,7.692664,4.000000,NO, 10
1645620941,45.070553,7.693262,4.000000,NO, 10
1645620952,45.070896,7.692739,4.000000,NO, 10
1645621011,45.070400,7.692961,4.000000,NO, 10
1645621011,45.070400,7.692961,3.000000,NO, 10
1645621044,45.071018,7.692845,3.000000,NO, 10
1645621044,45.071018,7.692845,3.000000,NO, 10
1645621096,45.070728,7.692544,3.000000,NO, 10
1645621096,45.070728,7.692544,2.000000,NO, 10
1645621140,45.071041,7.692838,2.000000,NO, 10
1645621140,45.071041,7.692838,1.000000,NO, 10
